time,sip,method,url,resp_code,action,user_agent,bytes
2025-08-13T10:00:00Z,10.0.0.5,GET,https://example.com/index.html,200,allowed,Mozilla/5.0,1024
2025-08-13T10:00:10Z,10.0.0.5,GET,https://cdn.example.com/script.js,200,allowed,Mozilla/5.0,2048
2025-08-13T10:01:00Z,10.0.0.7,POST,https://login.example.com/auth,302,allowed,Mozilla/5.0,512
2025-08-13T10:01:05Z,10.0.0.7,GET,https://login.example.com/home,200,allowed,Mozilla/5.0,4096
2025-08-13T10:02:00Z,10.0.0.8,GET,https://rare.evil.cc/payload.bin,200,allowed,curl/8.1,8000000
2025-08-13T10:02:01Z,10.0.0.8,CONNECT,https://rare.evil.cc:8443,200,allowed,curl/8.1,1024
2025-08-13T10:03:00Z,10.0.0.5,GET,https://example.com/img/logo.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:01Z,10.0.0.5,GET,https://example.com/img/logo2.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:02Z,10.0.0.5,GET,https://example.com/img/logo3.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:03Z,10.0.0.5,GET,https://example.com/img/logo4.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:04Z,10.0.0.5,GET,https://example.com/img/logo5.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:05Z,10.0.0.5,GET,https://example.com/img/logo6.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:06Z,10.0.0.5,GET,https://example.com/img/logo7.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:07Z,10.0.0.5,GET,https://example.com/img/logo8.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:08Z,10.0.0.5,GET,https://example.com/img/logo9.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:09Z,10.0.0.5,GET,https://example.com/img/logo10.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:03:10Z,10.0.0.5,GET,https://example.com/img/logo11.png,200,allowed,Mozilla/5.0,1024
2025-08-13T10:04:00Z,10.0.0.9,GET,https://example.com/404,404,blocked,Mozilla/5.0,128
2025-08-13T10:04:05Z,10.0.0.9,GET,https://example.com/404,404,blocked,Mozilla/5.0,128
2025-08-13T10:04:10Z,10.0.0.9,GET,https://example.com/404,404,blocked,Mozilla/5.0,128
2025-08-13T10:04:15Z,10.0.0.9,GET,https://example.com/404,404,blocked,Mozilla/5.0,128
2025-08-13T10:04:20Z,10.0.0.9,GET,https://example.com/404,404,blocked,Mozilla/5.0,128
